ISO,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
ABW,1666578.12777,1684824.61926,1702932.3216,1720901.23478,1738731.35882,1756422.69369,1773975.23942,1791388.99599,1808663.96342,1825800.14169,1842797.5308,1878620.11935,1914187.04367,1949498.30377,1984553.89963,2019353.83127,2053898.09868,2088186.70186,2122219.64082,2155996.91554,2189518.52604,2369639.36239,2554730.74794,2744792.68269,2939825.16664,3139828.19979,3344801.78213,3554745.91368,3769660.59443,3989545.82437,4214401.60352,4365556.81629,4518621.11459,4674985.04872,4833958.52117,4995541.53196,5158992.20702,5325783.93915,5495185.20962,5666423.07843,5841033.07024,6088093.85434,6340390.71741,6596326.0029,6856693.36143,7122327.86486,7391569.72476,7665243.65771,7943349.6637,8226764.23581,8513744.74318,8752289.44669,8989877.9524,9226510.26035,9462186.37053,9696906.28292,9930669.99752,10163477.5143,10395328.8335,10626223.9547,10856162.8783,11009688.3269,11158857.7635,11303671.1881,11553120.8683,11796248.5517,12033054.2386,12263537.9287,12487699.6222,12705539.3189,12917057.019,14011139.764,15141806.7009,16312177.4425,17519055.2784,18765714.0166,20048802.7516,21371749.4865,22731049.1206,24130283.852,25565794.3851,29335206.6203,33232640.7068,37261987.2326,41419278.512,45708559.3284,50125707.8009,54672765.5958,59351928.5737,64158843.5614,69097940.8299,72040437.765,75044341.4573,78107378.9475,81227123.0824,84408389.6204,87646285.7056,90945781.2917,94304410.6758,97719553.9607,101196412.393,107488672.185,114054916.71,121075995.873,128126675.832,135605100.096,143666494.426,152104556.89,160778791.809,169840617.267,179610406.988,189504988.351,199877884.319,208749842.353,219051637.218,229900906.172,243364253.7,257664800.82,272467388.103,288699856.297,279102149.362,304255551.22,331898776.321,362007232.372,393691400.535,428542021.547,468036072.394,511076390.385,557739533.67,608885159.015,663616477.249,724139621.948,788147650.65,860790062.555,943237772.838,1022527520.46,1119962183.72,1315424067.39,1510025708.77,1753723227.41,1891725219.43,1734147957.69,2327805900.93,2586954600.87,2971386978.85,2779987702.88,3033703848.29,3232638319.81,3264468748.68,3015883023.93,3199081941.39,3147528298.68,3104624702.12,3140070393.18,3358774725.83,3411501381.85,2798415692.19,2165822709.18,1513722432.79,842114863.069
AFG,2632854277.75,2642934956.94,2652964724.21,2662944970.53,2672874999.84,2682754120.8,2692583717.25,2702363096.67,2712092259.06,2721770517.91,2731399247.45,2741776133.48,2752100691.45,2762371554.31,2772590086.72,2782754926.42,2792866755.13,2802926249.79,2812932055.33,2822885524.44,2832785306.81,2866469172.88,2900344037.11,2934410582.39,2968667446.11,3003115307.98,3037754168.0,3072584026.18,3107605581.34,3142817439.01,3178220294.84,3219178783.27,3260376514.7,3301814203.91,3343490424.54,3385405888.2,3427560594.85,3469954544.52,3512588467.89,3555460906.76,3598572588.64,3643853693.31,3689388307.57,3735174947.98,3781214354.71,3827507280.34,3874052222.82,3920849931.61,3967900406.7,4015204413.14,4062760423.99,4125776041.17,4189274408.87,4253253974.45,4317715511.49,4382659815.47,4448085300.92,4513992757.83,4580382186.22,4647254403.4,4714607780.18,4796076291.3,4878205926.32,4960998347.23,5057170472.88,5154263240.58,5252275811.12,5351207314.92,5451059483.54,5551830570.25,5653522336.97,5756132106.6,5859661648.67,5964110963.22,6069480050.21,6175768909.66,6282977541.57,6391105945.94,6500154122.76,6610122072.04,6684581834.32,6759328836.82,6834360197.3,6909675915.76,6985275992.2,7061160426.62,7137329219.01,7213782369.39,7290519877.74,7256284698.46,7220534338.98,7183265021.95,7144480624.87,7104181147.71,7062366590.49,7019036953.2,6974192235.86,6927832438.44,6879957560.95,6830567603.41,6779662565.79,6987100247.27,7230226946.76,7665831807.72,7819080955.08,7961630102.06,8188223756.09,8047437003.11,8344422102.01,8434520270.93,8571355996.4,8627136005.51,8747274889.59,8886197819.54,9032308740.59,9224226077.15,9291561777.75,9519497753.83,9827432581.14,9975015421.94,10167350269.5,9698226927.54,9518467822.01,10603892461.1,11164085762.5,11698543523.8,12194223005.3,11263329236.6,12003328729.0,11801533350.4,11754718916.5,12804063699.3,13606070838.9,13664416043.9,13010698412.6,12282764757.5,12950739302.0,10614129698.7,9622734142.84,9579976126.74,9398762746.68,9911461107.71,9801751828.22,9099073003.88,8717652318.6,11073432245.1,11857300137.2,12580745663.6,13271800819.0,14017834659.3,14353947765.0,13422560443.5,17150703979.9,19387200233.8,20757238872.4,23849101830.7,26284489751.6,30273882072.7,32055783222.9,34600890639.3
AGO,1507149115.68,1520694313.44,1534296661.99,1547956161.35,1561672811.49,1575446612.45,1589276469.89,1603164566.54,1617109814.0,1631112212.25,1645171761.3,1660125631.47,1675144289.04,1690228851.81,1705380461.15,1720597987.49,1735880277.65,1751228473.04,1766643738.54,1782124921.0,1797670843.8,1822252575.25,1846977467.04,1871847905.44,1896862702.84,1922021859.18,1947324131.94,1972771995.24,1998364217.51,2024099523.28,2049980452.5,2077704094.34,2105600839.58,2133670688.22,2161913640.28,2190328354.35,2218917502.21,2247679753.46,2276615108.11,2305723566.18,2335005127.63,2367063184.56,2399336387.41,2431823339.9,2464522601.87,2497435591.53,2530563771.0,2563905700.13,2597459894.81,2631227817.2,2665210973.32,2703613098.29,2742288315.46,2781238130.87,2820464094.53,2859964678.37,2899738310.5,2939786540.87,2980110963.38,3020710006.13,3061582053.21,3110101490.86,3158995045.3,3208262716.52,3249273545.59,3290559639.94,3332120842.48,3373962002.66,3416082984.86,3458485322.85,3501170557.9,3558588296.65,3616405615.31,3674628164.83,3733254771.23,3792291134.81,3851737812.9,3911595346.45,3971869510.69,4032559118.84,4093669996.56,4191204245.59,4289451498.24,4388412238.22,4488094082.8,4588497527.52,4689628451.65,4791492783.36,4894091036.26,4997431000.82,5101513202.88,5374102287.15,5648782104.66,5925561016.61,6204454846.91,6485472048.6,6768626716.69,7053933037.19,7341399602.31,7631042616.69,7922870766.38,8272458800.44,8637423718.51,9010236319.31,8803451842.76,9546551711.77,9404724035.68,10329675629.4,10904110652.2,10955743957.1,11402772651.2,12935993372.7,12592476137.3,13246150905.9,14744780917.2,15849635412.6,16986778146.5,18194198342.2,18119959450.9,18836800030.4,20228737769.9,21459661923.9,21535524368.2,23333182213.6,24166842492.8,22845225361.2,21669840654.4,21957957068.5,20844613978.8,21192196801.1,20692213659.8,20530448705.4,20712382973.0,21530590878.9,24183204699.0,23833370069.4,24113224705.7,27605139369.0,27348688371.1,27954010081.4,29406860226.7,31430979625.8,33040856386.6,23308350511.4,26923400811.5,31197822402.4,35070654313.5,38816183239.4,33120639155.4,43081753858.8,34908923293.8,33239852551.6,40275041436.0,41367440034.0,46083436559.2,57515277956.4,65382668515.5,73433435999.3,81667580408.0,90085101741.6
ALB,382182892.121,387985545.505,393826250.057,399705005.774,405621812.66,411576670.71,417569579.929,423600540.314,429669551.864,435776614.583,441921728.467,448104893.519,454326109.736,460585377.122,466882695.672,473218065.391,479591486.275,486002958.327,492452481.544,498940055.929,505465681.48,519322092.284,533354197.604,547561997.442,561945491.795,576504680.666,591239564.052,606150141.955,621236414.376,636498381.312,651936042.766,667549398.735,683338449.223,699303194.226,715443633.745,731759767.781,748251596.333,764919119.402,781762336.988,798781249.09,815975855.709,836285187.051,856836521.231,877629858.263,898665198.14,919942540.855,941461886.423,963223234.828,985226586.085,1007471940.18,1029959297.13,1053902655.66,1078110270.17,1102582140.65,1127318267.12,1152318649.57,1177583288.0,1203112182.41,1228905332.81,1254962739.18,1281284401.53,1306874128.69,1332689143.79,1358729446.83,1379690293.21,1400807841.87,1422082092.84,1443513046.08,1465100701.64,1486845059.48,1508746119.61,1527753047.68,1546867827.92,1566088841.52,1585414415.6,1604847882.38,1624385882.63,1644031802.59,1663782229.01,1683640602.16,1697003793.49,1719425691.64,1741971074.0,1764638193.49,1787427050.07,1810337643.76,1833369974.57,1856522248.37,1879798046.68,1903195582.08,1926714854.61,1961705877.68,1996902315.34,2032302333.21,2067909593.33,2103722268.05,2139740357.36,2175963861.24,2212390911.78,2249025238.14,2285864979.08,2464033104.56,2544157885.93,2729707363.2,2890681056.86,3135921402.31,3256478731.95,3558278745.27,3816688362.68,4077670523.32,4392233730.23,4572925205.25,4872066087.33,5193969688.22,5529560671.94,5896731284.66,6299825366.54,6727250877.96,7164609602.52,7607657777.14,8100228428.37,8417079407.34,8749274217.0,9095164093.87,9455540772.88,9835716856.47,10224306072.8,10627314447.3,11072825686.5,11487942283.3,11939521180.2,12531019103.8,12836898002.8,13092161945.0,12748536443.8,12884801743.5,13642961329.7,13530128180.9,13178598108.8,14545315403.6,14868230408.9,8318324938.77,6222164945.3,7932487914.18,10027453706.1,10950504901.6,12862997057.2,11613514761.3,11707003316.9,13546703036.4,13944523156.9,14421870014.8,14486176263.4,15302100756.9,16195159680.3,16638176757.2,18175349386.8,19734618025.8,21315982674.4,22919443332.4
ARE,190192526.154,191917704.783,193650538.401,195395329.637,197143489.947,198899305.245,200667128.304,202438270.293,204217067.271,206007922.152,207802045.822,209688114.968,211578021.178,213480653.847,215387090.153,217301783.149,219229252.748,221160475.84,223104508.962,225052262.15,227012858.796,230279543.211,233572575.759,236882657.841,240219171.432,243572651.181,246952645.816,250349523.232,253772998.911,257213273.993,260680230.716,264234538.224,267811690.996,271411689.035,275034532.338,278685433.001,282354008.525,286045429.314,289759695.368,293496806.688,297262183.81,301121498.489,305010329.623,308923256.675,312854692.357,316815769.559,320795272.013,324804499.364,328837822.634,332889446.09,336970919.509,341164675.477,345383778.017,349622264.643,353892018.638,358187119.206,362507566.344,366853360.056,371224500.339,375614774.578,380036566.317,383891881.28,387758367.706,391648659.271,399009651.898,406418120.544,413861012.926,421351577.023,428876369.153,436449028.699,444055720.581,451760610.721,459507967.402,467297790.617,475122624.66,482997283.101,490914408.082,498873999.6,506876057.659,514912637.297,522999530.579,531185874.984,539424294.319,547698409.426,556016360.962,564378148.922,572783773.307,581241961.868,589735356.955,598272588.469,1162015524.29,1729704578.31,2301268362.98,2876706878.27,3456020124.19,4039208100.74,4626270807.91,5217208245.72,5812020414.16,6410707313.23,7013268942.91,7637807117.48,8110352197.03,8904141448.42,9874688929.93,10034161364.1,10656258740.6,10873760871.1,11190250970.5,12051461830.8,12913243912.7,15435954008.2,18337795558.7,21183126927.8,24052235433.6,26871482031.0,29714358873.8,32384167900.9,34601856294.3,35870050658.2,40319320050.4,47201511108.4,51663337738.0,59979467840.2,67939733889.8,79823970237.8,95420606279.6,1.12230762966e+11,1.03602586729e+11,1.24120057541e+11,1.52051216046e+11,1.42074303185e+11,1.29324311613e+11,1.22843196956e+11,1.28565796274e+11,1.19358007357e+11,96420877535.3,97885313587.9,94911710349.5,1.08207345188e+11,1.31414578872e+11,1.33170576606e+11,1.38983392823e+11,1.15967890556e+11,1.21285186436e+11,1.35545373243e+11,1.47055820275e+11,1.58833615118e+11,1.45625856724e+11,1.64539645325e+11,2.14038778194e+11,2.02835346411e+11,2.09064676192e+11,2.254543821e+11,2.44738356371e+11,2.76919486549e+11,2.94583837602e+11,3.07538264474e+11,3.15782767165e+11,3.19317345673e+11
ARG,599532736.146,621309101.983,643362365.403,665692526.403,688299584.983,711183541.144,734344961.112,757782716.916,781497370.302,805488921.269,829757369.817,864566001.46,899835349.872,935566597.993,971758553.141,1008412417.74,1045527593.01,1083103460.7,1121141252.45,1159639726.87,1198600135.09,1237149198.97,1366706938.67,1495362108.39,1467492982.73,1625680488.13,1686915686.35,1884738806.31,1808925228.75,1899178805.23,1880072958.75,1925039329.08,2424321645.2,2705952150.41,2874523751.44,3305982222.36,3278081137.18,3424750938.92,3855677228.34,4013976595.97,3691039416.63,3622159842.38,4406882104.52,4742824509.25,5538910190.45,6213201567.92,6819232705.86,5544200857.42,6026075413.66,7090681387.52,6183776551.29,6451085992.98,6328007190.15,7235027226.2,8000493346.32,9032483518.49,9447127840.52,9596824376.64,10471938619.4,10921719876.9,11625361349.8,11761379896.9,12640131644.8,12665880119.7,11338346435.2,11457167893.4,11219785623.2,10400688994.7,12426415110.5,12976298792.4,13968091898.9,14320946434.1,15379773290.5,16893292596.6,17995326535.8,17799263441.5,18555174919.4,19739911667.8,20827284436.4,21650228787.4,20651591311.1,19174871172.0,18559613540.4,19457816518.6,21061303638.7,22047169336.0,22241838323.4,23881772883.7,23998333366.4,24877545135.8,25388171637.2,26816897399.6,27245916012.3,27137654449.5,30305605831.0,29392644030.6,32083596483.0,35660674487.9,37485065988.7,36677478044.5,36889210815.1,38791363422.7,35143228431.8,36481117233.9,38144898996.0,41709920885.2,42788490736.1,44761473611.3,48057935146.0,45769751882.7,49319958786.3,51556337946.8,49181437281.4,48957699208.0,52452371136.1,60055633665.8,59590335173.8,62262295103.9,64129519505.3,69746356256.6,71027018607.3,74895591047.7,76515947064.4,80591892681.7,83756923124.9,81974053786.1,81665372928.3,85100199827.8,82442174742.6,90062338295.7,95146684607.1,94640327669.3,95956840412.1,1.0518241128e+11,1.12059943215e+11,1.07453932946e+11,1.23084781656e+11,1.32116298234e+11,1.39686115631e+11,1.36928577623e+11,1.51206287502e+11,1.80302735371e+11,2.13158616406e+11,2.45643741329e+11,2.88691649e+11,3.19568370917e+11,4.16674135945e+11,4.30805143909e+11,4.31318605216e+11,4.02359152967e+11,3.92899138437e+11,3.67480918669e+11,3.45979745104e+11,3.65003024354e+11,3.87356911333e+11,4.14526200848e+11,4.4694152046e+11,4.79739260181e+11,5.12919420009e+11,5.4648199995e+11
ARM,332717043.444,336084717.861,339468815.162,342870341.24,346288794.357,349724174.511,353176481.702,356645715.932,360131877.197,363634965.501,367154980.843,370789209.96,374440730.757,378110597.394,381797750.884,385503255.041,389226579.164,392967182.9,396726144.543,400502380.972,404296980.135,413312404.94,422399952.319,431559622.274,440791414.803,450094735.914,459470764.313,468918915.287,478439188.836,488031584.961,497696103.66,507565278.004,517511020.032,527532021.119,537628930.939,547802436.281,529605427.372,621878941.242,601242886.247,562270464.888,562498223.872,517792626.046,570388137.965,649235201.079,742131930.63,690627454.251,764523504.653,755628585.726,779094212.106,831329909.8,817731007.782,841966862.041,920304095.11,861201451.119,957116498.92,851880695.511,818163103.393,789727220.657,867124229.569,905161448.675,970165103.416,901474919.217,978923173.071,1033734760.57,992059022.265,1026718780.6,916906823.005,809651677.499,498007180.484,431926760.375,435612041.708,400587670.337,467757695.241,541761956.925,689220212.942,866160567.177,977669396.617,1023503460.5,1081594485.03,1099752723.97,1154721706.53,1200903877.43,1216477106.15,1297885757.93,1456023432.12,1709694068.79,1873867464.81,2080799016.85,2126504964.41,2266134722.12,2223274743.18,2191285187.35,2159003837.38,2126434006.19,2093572442.0,2060422335.45,2026982075.93,2260682780.67,2563218734.17,2808933890.81,3053092545.42,3129969339.85,3395928786.01,3606740020.96,3844796760.55,4236212825.66,4705213756.5,4864315444.0,5291837331.12,5290223482.41,5849142663.19,6287812127.37,6566250097.74,6526391985.83,7499372184.03,8068340146.76,8612643040.18,9154230666.51,9863950055.79,10177640270.8,11147560979.1,11591540842.2,11801364580.4,12949363406.3,13369708275.4,13446352819.8,14113766669.3,14481864730.6,14882568076.5,14844311564.8,14895469046.9,14998430135.3,15326470634.4,15767878447.1,15904788395.5,15984895530.7,16579775779.2,16729561207.5,17027380754.5,17271259085.7,13808255859.4,15602089507.1,9826680396.08,7741137986.21,7842331796.75,7675179687.5,8099661484.39,7580295888.26,7657929203.04,7667276461.64,7938816894.52,8616853113.65,9616788370.41,10799203144.2,11819361249.8,13253833267.3,13627438516.8,14004157814.9,14383991161.4,14766938556.5
ATG,19456108.548,19328441.5291,19201191.1024,19074862.83,18948444.0669,18822944.4174,18697357.3182,18572186.8111,18447930.8561,18323592.0128,18200164.6808,18078631.097,17957993.8205,17837267.5739,17717434.5938,17598003.0018,17478487.0008,17359859.7051,17241151.0413,17123328.042,17005426.7154,17287609.2781,17568467.2208,17848985.8384,18128162.5931,18407017.2658,18684512.8325,18961703.5602,19237517.939,19513044.7217,19787177.9125,20188591.1868,20592421.5621,20999234.9682,21409631.8212,21823028.9481,22238808.69,22657571.4628,23079952.1684,23505333.1479,23933062.2565,24222370.4113,24510971.6051,24798865.8378,25086053.1094,25372533.42,25658306.7694,25943373.1577,26227732.585,26511385.0511,26794330.5562,27556513.8373,28317135.6407,29074652.9059,29829826.1063,30582655.2419,31334011.3553,32082174.475,32827993.5302,33571468.5205,34313558.9439,34621440.4344,34907561.9275,35172949.2621,35752865.7981,36301201.4679,36819078.3946,37304284.4272,37757909.5944,38181172.3008,38571667.8307,39689878.2753,40813192.9065,41944209.0073,43080265.1057,44224086.8626,45372884.4281,46529511.8409,47691050.8737,48860483.9424,50034764.4424,51896903.2715,53791041.374,55720417.9204,57681729.5518,59678343.8156,61708592.9855,63770680.9567,65868167.844,67997429.3438,70162153.9484,73126457.1915,76151899.0396,79234598.4355,82378500.6248,85579596.173,88841958.7035,92161450.4042,95542273.2759,98980161.129,102479444.342,107666035.873,113052448.476,118818297.51,124540659.35,130607752.1,137162379.744,143999480.168,150984140.661,158254512.23,166109516.91,177202798.908,188890374.732,199289452.807,211177898.26,223730311.593,234091610.999,245064487.086,256335431.505,268747951.476,282626404.427,303904057.687,326150195.431,354004658.128,366688541.206,345033022.12,316160885.383,340571387.801,344624144.613,397919089.501,403178422.897,412917644.817,426304441.26,488154872.054,492474418.348,521197407.509,558910945.193,584921393.972,678048302.245,709145211.425,744096988.976,747810293.447,772785147.979,828079216.658,872589227.476,830399940.028,869735665.427,918932477.385,976368174.401,1020802668.15,1038901996.11,1047767603.46,1099537772.2,1100839754.24,1146617961.66,1158017818.64,1230314398.73,1357052487.14,1408150522.9,1289338639.0
AUS,1646795407.42,2172637840.27,2803890822.92,3350251535.63,3179318246.12,3250567069.96,4250570680.98,4001491355.08,3625601788.23,4957614661.23,5106620713.02,5275897116.92,5306094443.28,5521472811.31,6106232433.02,6061191973.55,6483410316.18,7357355720.08,7739953825.59,7853948871.14,8589769779.74,8916067720.82,9880474479.84,10933224107.3,11264665300.4,12478369713.3,12396771669.1,12802205401.3,13901224456.8,13996142142.7,14597610382.3,15755245355.0,14896516374.1,16988163384.3,16897892377.8,17935385746.2,18120321216.8,19990095411.5,20022554838.8,21719222904.5,20975834002.4,22385374470.1,19535108247.0,18474105099.4,19110825192.8,18017003523.7,19380322349.2,18302423420.3,21182313587.8,21259251702.8,22587583967.2,22003166283.2,22304775693.8,24200211910.3,25942341505.4,26304361566.8,28150222027.9,29305921531.6,30277596222.3,32648120665.6,34685117112.9,34711375608.1,35401654442.7,36550908361.2,36350418367.8,36112642816.6,36672062842.5,36705068165.2,35917045520.9,37483079420.5,38563955676.5,40473822815.2,42494318844.8,44347175895.8,47081499661.1,49096432368.9,50109150146.8,50679946867.7,50656686242.2,49690012938.8,45156199484.3,42273431852.5,44849645412.0,48151533662.7,50915140794.2,54137276794.9,56802287406.3,59847220010.6,61998320088.9,62265219688.7,66399410194.3,74230742819.6,83324498872.9,86808809519.5,84194985564.3,80260552168.9,77519981199.3,79337175342.7,83996373739.3,88344236027.0,98757357866.0,91877459551.4,90741536513.3,1.00232952193e+11,1.06578296465e+11,1.1037675419e+11,1.13145612329e+11,1.13094116874e+11,1.20351282772e+11,1.29176227887e+11,1.30658604862e+11,1.34417683372e+11,1.42040813192e+11,1.54218996101e+11,1.60827280082e+11,1.63619534959e+11,1.74392632692e+11,1.81499369327e+11,1.95862783148e+11,2.1081786737e+11,2.17534574777e+11,2.24508937791e+11,2.35139796622e+11,2.54341970108e+11,2.46543552762e+11,2.46963547883e+11,2.56926991263e+11,2.58654814612e+11,2.72226864344e+11,2.82069453529e+11,2.9161006472e+11,3.05866836737e+11,2.98056887899e+11,3.1558231471e+11,3.28569708025e+11,3.38136047658e+11,3.44955993062e+11,3.72351510995e+11,4.00371652941e+11,4.17549200882e+11,4.13642072922e+11,4.1509616099e+11,4.32158058225e+11,4.50914128342e+11,4.76247349061e+11,5.01061219514e+11,5.23920998383e+11,5.49507410319e+11,5.73664139921e+11,6.02768226235e+11,6.1163774774e+11,6.34443710533e+11,6.54360550423e+11,6.82054158198e+11,7.03543299897e+11,7.26555337714e+11,7.40396666362e+11,7.54220596917e+11,7.68027129374e+11,7.81816263735e+11
AUT,8369773542.4,8500234021.51,8631701211.68,8764179477.72,8897666645.63,9032162715.34,9167665429.15,9304179285.78,9441702044.25,9580231396.61,9719771942.01,9850118191.39,9981260274.46,10113202874.0,10245941285.1,10379480234.9,10513817365.4,10648950274.1,10784883754.8,10921612991.4,11059142822.3,11857188819.3,11948495050.1,11673342661.4,12197843629.4,12257699125.6,12536048028.8,12962822473.5,13395127320.5,13305379811.1,13491130168.7,14047007699.0,14141551569.9,14728909092.5,15122662954.5,15032417952.2,15527011055.1,16601074261.3,16569940478.2,16416414970.4,17306329116.1,17944535453.1,18346325842.7,18467316798.0,19547527496.4,20071162397.8,20375077311.5,20802905112.3,21974053342.4,22433662764.6,22623275349.3,22723334928.8,23614178243.1,23829950579.2,24200596767.5,25558049374.7,26537023726.6,28171910276.8,28299779908.1,28200795568.1,28598568873.2,29146758473.9,30251332118.3,29799259032.0,24645138938.7,22652397779.2,22357904683.1,21920852115.9,21579294517.0,19009653773.3,20222790711.5,22309271860.6,24319121963.4,24120896050.0,26953972162.9,28808050049.4,29318863456.5,30229577867.3,31666156135.2,32156902797.5,31297732819.9,28697373130.6,25660517353.0,24727054959.1,24893334935.6,25373848044.9,26142425022.4,27548235074.8,31066513389.9,35754624050.3,34559345626.2,36954879950.0,35039681522.9,35899270258.1,36808756083.6,15351302655.5,17493123243.3,19466539210.2,24962597619.9,29885087670.1,33796298291.3,35047402391.4,36648313472.4,38444541612.9,41033085048.1,45143127270.6,48749190417.5,51256348612.2,53647994935.8,55761888810.9,60003232753.5,63520821323.6,65382592814.9,68342652772.3,71757294976.9,74230395518.3,77980587855.2,80400072632.5,84089577452.0,88164208268.4,93531441140.3,98329078568.2,1.0470252769e+11,1.10696155534e+11,1.13157355586e+11,1.13761245003e+11,1.17002658643e+11,1.21692693061e+11,1.21583387959e+11,1.26272590526e+11,1.26799652921e+11,1.25457814676e+11,1.26407026467e+11,1.29205584141e+11,1.29100162437e+11,1.31737269618e+11,1.38297700537e+11,1.44296427204e+11,1.53180847304e+11,1.6314535852e+11,1.74383918693e+11,1.8514343336e+11,1.93018721636e+11,1.97769753065e+11,2.087372335e+11,2.20690378012e+11,2.25554712084e+11,2.33825710588e+11,2.47394114061e+11,2.57241662426e+11,2.66625226645e+11,2.61552660463e+11,2.67391897923e+11,2.67673799862e+11,2.75146884853e+11,2.7559752715e+11,2.79799779752e+11,2.84026153337e+11,2.88276647907e+11,2.92551263462e+11
